,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Tipo de vehículo con el que chocó
2,Valores válidos,1,Automóvil (carro)
3,2,"Motocicleta, ciclomotor (passola)",
4,3,Camioneta,
5,4,Camión,
6,5,Autobús,
7,6,"Minibús, miniván",
8,7,Patana,
9,8,"Yipeta, yip",
10,9,Bicicleta,
11,10,Tractor,
12,11,Grúa,
13,12,Triciclo,
14,13,Furgoneta,
15,14,Excavadora,
16,15,Carreta,
17,16,Ambulancia,
18,17,Pala mecánica,
19,18,Locomotora,
20,19,Rodillo,
21,20,Volqueta,
22,21,Volteo,
23,22,Gredar,
24,23,Máquina asfaltadora,
25,24,Animal,
26,25,Otros,
27,26,No aplica,
28,99,No declarado,
29,,,
