,fecha,region,provincia,dia_semana,mes,anio,rango_hora,tipo_via,sexo,grupo_edad,condicion_victima,tipo_accidente,medio_trans
0,2007-01-28,1,9,6,1,2007,10,99,1,5,9,1,2
1,2007-01-28,1,9,7,1,2007,1,4,1,12,9,1,2
2,2007-02-28,1,9,4,2,2007,11,4,1,4,9,1,2
3,2007-02-28,1,9,1,2,2007,6,99,1,1,9,3,25
4,2007-03-28,1,9,4,3,2007,10,4,1,5,9,1,2
5,2007-03-28,1,9,1,3,2007,1,4,1,10,9,1,2
6,2007-03-28,1,9,7,3,2007,9,4,1,4,9,4,4
7,2007-03-28,1,9,4,3,2007,8,4,1,4,9,5,2
8,2007-03-28,1,9,7,3,2007,4,4,1,6,9,1,2
9,2007-03-28,1,9,4,3,2007,7,4,1,13,9,1,2
10,2007-03-28,1,9,7,3,2007,4,99,1,8,9,5,2
11,2007-03-28,1,9,4,3,2007,7,99,1,9,9,5,2
12,2007-04-28,1,9,6,4,2007,9,4,1,5,9,1,2
13,2007-04-28,1,9,1,4,2007,7,4,1,14,9,1,2
14,2007-05-28,1,9,4,5,2007,5,3,1,99,9,1,2
15,2007-05-28,1,9,3,5,2007,8,4,1,99,9,1,2
16,2007-05-28,1,9,4,5,2007,3,4,1,12,9,1,2
17,2007-06-28,1,9,5,6,2007,9,4,1,8,9,1,2
18,2007-06-28,1,9,4,6,2007,12,4,1,6,9,1,2
19,2007-06-28,1,9,4,6,2007,6,1,1,11,9,1,2
20,2007-07-28,1,9,1,7,2007,4,4,1,7,9,1,2
21,2007-07-28,1,9,7,7,2007,5,4,1,4,9,4,3
22,2007-07-28,1,9,1,7,2007,6,99,1,12,9,4,3
23,2007-07-28,1,9,1,7,2007,6,4,1,5,9,6,2
24,2007-08-28,1,9,5,8,2007,4,4,1,11,9,1,2
25,2007-08-28,1,9,5,8,2007,9,4,1,4,9,1,2
26,2007-08-28,1,9,7,8,2007,4,4,1,11,9,5,2
27,2007-09-28,1,9,6,9,2007,5,2,1,10,9,1,2
28,2007-09-28,1,9,7,9,2007,5,4,1,6,9,2,1
29,2007-09-28,1,9,1,9,2007,6,4,1,12,9,5,2
30,2007-09-28,1,9,7,9,2007,9,2,1,9,9,1,2
31,2007-09-28,1,9,7,9,2007,4,2,1,6,9,1,2
32,2007-10-28,1,9,2,10,2007,5,4,1,99,9,1,2
33,2007-10-28,1,9,4,10,2007,7,4,1,4,9,1,2
34,2007-10-28,1,9,1,10,2007,9,4,1,10,9,5,2
35,2007-10-28,1,9,6,10,2007,11,4,1,6,9,1,2
36,2007-11-28,1,9,7,11,2007,8,4,1,10,9,3,25
37,2007-12-28,1,9,4,12,2007,6,4,1,13,9,3,25
38,2007-12-28,1,9,6,12,2007,4,4,1,4,9,1,2
39,2008-01-28,1,9,7,1,2008,6,4,1,6,9,5,2
40,2008-01-28,1,9,1,1,2008,11,2,1,14,9,3,25
41,2008-02-28,1,9,6,2,2008,7,4,1,4,9,1,2
42,2008-02-28,1,9,2,2,2008,5,4,1,4,9,1,2
43,2008-03-28,1,9,6,3,2008,3,3,1,7,9,1,2
44,2008-03-28,1,9,7,3,2008,12,4,1,1,9,1,8
45,2008-03-28,1,9,6,3,2008,9,4,1,9,9,1,3
46,2008-03-28,1,9,7,3,2008,7,4,1,7,9,5,2
47,2008-03-28,1,9,1,3,2008,7,4,1,8,9,1,2
48,2008-04-28,1,9,7,4,2008,9,4,1,11,9,4,3
49,2008-05-28,1,9,7,5,2008,11,4,1,7,9,1,2
50,2008-06-28,1,9,6,6,2008,11,99,1,10,9,1,2
51,2008-06-28,1,9,4,6,2008,4,4,1,10,9,1,2
52,2008-07-28,1,9,1,7,2008,99,3,2,5,9,2,1
53,2008-07-28,1,9,1,7,2008,99,3,1,5,9,2,1
54,2008-07-28,1,9,1,7,2008,99,99,1,6,9,5,1
55,2008-07-28,1,9,1,7,2008,99,99,1,9,9,5,1
56,2008-07-28,1,9,3,7,2008,10,4,1,14,9,3,25
57,2008-07-28,1,9,2,7,2008,12,1,2,5,9,1,2
58,2008-07-28,1,9,2,7,2008,10,4,1,3,9,1,2
59,2008-08-28,1,9,6,8,2008,6,3,2,13,9,3,25
60,2008-08-28,1,9,7,8,2008,8,99,1,14,9,3,25
61,2008-09-28,1,9,6,9,2008,6,4,1,4,9,2,1
62,2008-09-28,1,9,6,9,2008,11,1,1,12,9,3,25
63,2008-09-28,1,9,7,9,2008,9,4,1,7,9,5,2
64,2008-10-28,1,9,5,10,2008,5,4,1,6,9,5,2
65,2008-10-28,1,9,6,10,2008,8,4,2,5,9,1,2
66,2008-11-28,1,9,4,11,2008,6,4,2,7,9,3,25
67,2008-11-28,1,9,4,11,2008,4,4,1,5,9,3,25
68,2008-11-28,1,9,3,11,2008,6,4,1,6,9,1,2
69,2008-11-28,1,9,6,11,2008,10,4,1,8,9,1,2
70,2008-12-28,1,9,3,12,2008,11,4,1,4,9,1,2
71,2008-12-28,1,9,4,12,2008,9,3,1,10,9,1,2
72,2008-12-28,1,9,2,12,2008,9,3,1,9,9,1,2
73,2008-12-28,1,9,4,12,2008,10,4,1,12,9,1,2
74,2009-01-28,1,9,4,1,2009,9,4,1,5,9,1,2
75,2009-01-28,1,9,5,1,2009,10,3,1,14,9,3,25
76,2009-01-28,1,9,7,1,2009,10,4,1,10,9,1,2
77,2009-02-28,1,9,3,2,2009,4,4,1,9,9,1,2
78,2009-02-28,1,9,6,2,2009,9,4,1,12,9,5,2
79,2009-03-28,1,9,4,3,2009,5,4,1,14,9,3,25
80,2009-03-28,1,9,7,3,2009,6,4,1,9,9,1,2
81,2009-03-28,1,9,1,3,2009,6,4,1,7,9,1,2
82,2009-03-28,1,9,1,3,2009,11,4,1,11,9,3,25
83,2009-04-28,1,9,7,4,2009,3,2,2,5,9,3,25
84,2009-04-28,1,9,4,4,2009,11,2,1,5,9,1,2
85,2009-04-28,1,9,1,4,2009,10,4,1,10,9,1,2
86,2009-04-28,1,9,7,4,2009,6,4,1,2,9,1,2
87,2009-04-28,1,9,7,4,2009,6,4,1,6,9,1,2
88,2009-04-28,1,9,7,4,2009,6,4,1,8,9,1,2
89,2009-05-28,1,9,1,5,2009,11,4,1,6,9,5,2
90,2009-05-28,1,9,3,5,2009,6,4,1,7,9,5,2
91,2009-05-28,1,9,7,5,2009,6,4,1,5,9,1,2
92,2009-06-28,1,9,6,6,2009,11,4,1,13,9,3,25
93,2009-06-28,1,9,3,6,2009,6,4,1,13,9,3,25
94,2009-07-28,1,9,3,7,2009,12,2,1,7,9,1,2
95,2009-07-28,1,9,1,7,2009,11,4,1,6,9,1,2
96,2009-08-28,1,9,2,8,2009,2,4,1,7,9,5,2
97,2009-08-28,1,9,7,8,2009,10,4,1,7,9,2,3
98,2009-08-28,1,9,7,8,2009,12,4,2,11,9,3,25
99,2009-09-28,1,9,7,9,2009,2,4,1,5,9,1,2
100,2009-09-28,1,9,7,9,2009,2,4,2,3,9,3,25
101,2009-09-28,1,9,1,9,2009,2,4,1,99,9,6,2
102,2009-09-28,1,9,5,9,2009,8,4,2,14,9,1,2
103,2009-09-28,1,9,2,9,2009,8,4,1,13,9,1,2
104,2009-10-28,1,9,7,10,2009,10,2,1,14,9,1,2
105,2009-10-28,1,9,3,10,2009,7,4,2,14,9,3,25
106,2009-11-28,1,9,7,11,2009,12,2,1,6,9,5,2
107,2009-11-28,1,9,7,11,2009,7,4,1,6,9,5,2
108,2009-11-28,1,9,1,11,2009,8,4,1,7,9,1,2
109,2009-11-28,1,9,4,11,2009,9,3,1,8,9,3,25
110,2009-11-28,1,9,1,11,2009,11,4,1,5,9,1,2
111,2009-11-28,1,9,6,11,2009,6,4,1,6,9,1,2
112,2009-12-28,1,9,2,12,2009,10,3,2,4,9,3,25
113,2009-12-28,1,9,7,12,2009,3,2,1,6,9,1,8
114,2009-12-28,1,9,7,12,2009,3,2,1,6,9,1,8
115,2009-12-28,1,9,6,12,2009,4,4,1,99,9,1,2
116,2009-12-28,1,9,4,12,2009,10,2,1,9,9,1,2
117,2010-01-28,1,9,7,1,2010,10,3,1,4,9,1,2
118,2010-01-28,1,9,7,1,2010,10,3,1,5,9,1,2
119,2010-02-28,1,9,6,2,2010,2,3,1,13,9,3,25
120,2010-03-28,1,9,6,3,2010,6,4,1,10,9,1,2
121,2010-03-28,1,9,2,3,2010,11,2,1,7,9,1,8
122,2010-04-28,1,9,5,4,2010,10,3,1,9,9,1,2
123,2010-04-28,1,9,7,4,2010,1,4,1,11,9,1,2
124,2010-05-28,1,9,1,5,2010,8,3,1,5,9,1,2
