,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Medio de transporte en que viajaba
2,Formato,F2,
3,Valores válidos,1,Automóvil (carro)
4,2,"Motocicleta, ciclomotor (passola)",
5,3,Camioneta,
6,4,Camión,
7,5,Autobús,
8,6,"Minibús, miniván",
9,7,Patana,
10,8,"Yipeta, yip",
11,9,Bicicleta,
12,10,Tractor,
13,11,Grúa,
14,12,Triciclo,
15,13,Furgoneta,
16,14,Excavadora,
17,15,Carreta,
18,16,Ambulancia,
19,17,Pala mecánica,
20,18,Locomotora,
21,19,Rodillo,
22,20,Volqueta,
23,21,Volteo,
24,22,Gredar,
25,23,Máquina asfaltadora,
26,24,Animal,
27,25,Peatón atropellado,
28,26,Otros,
29,27,Vehículo le cayó encima,
30,28,No aplica,
31,99,No declarado,
32,,,
