,0,1,2
0,Valor,,
1,Atributos estándar,Etiqueta,Provincia
2,Formato,F2,
3,Valores válidos,1,Distrito Nacional
4,2,Azua,
5,3,Baoruco,
6,4,Barahona,
7,5,Dajabón,
8,6,Duarte,
9,7,Elías Piña,
10,8,El Seibo,
11,9,Espaillat,
12,10,Independencia,
13,11,La Altagracia,
14,12,La Romana,
15,13,La Vega,
16,14,María Trinidad. Sánchez,
17,15,Monte Cristi,
18,16,Pedernales,
19,17,Peravia,
20,18,Puerto Plata,
21,19,Hermanas Mirabal,
22,20,Samaná,
23,21,San Cristóbal,
24,22,San Juan,
25,23,San Pedro de Macorís,
26,24,Sánchez Ramírez,
27,25,Santiago,
28,26,Santiago Rodríguez,
29,27,Valverde,
30,28,Monseñor Nouel,
31,29,Monte Plata,
32,30,Hato Mayor,
33,31,San José de Ocoa,
34,32,Santo Domingo,
35,99,No declarada,
36,,,
