,provincia,automóviles,autobuses,jeep,carga,motocicletas,volteo,máquinas pesadas,otros,total,total %
0,Azua,7360,1318,4810,6438,51438,335,127,128,71954.0,1.2386351429885616
1,Bahoruco,2234,381,1304,1089,11265,97,22,23,16415.0,0.28257214153705473
2,Barahona,6271,1049,4976,3802,43242,258,76,199,59873.0,1.030669621093395
3,Dajabón,2474,214,2393,2258,26460,114,129,55,34097.0,0.5869547554059674
4,Distrito Nacional,449502,50151,228951,209711,782430,9408,12391,11964,1754508.0,30.202563685890638
5,Duarte,23183,2074,13341,12742,120411,491,1385,289,173916.0,2.9938359163910087
6,El Seibo,2290,394,2210,2066,21508,126,105,42,28741.0,0.494755158082028
7,Elías Piña,1167,161,679,491,4787,39,29,5,7358.0,0.12666255360521772
8,Espaillat,19932,1783,15944,12600,78427,544,268,249,129747.0,2.2334990952182907
9,Hato Mayor,2447,453,2276,2148,23290,122,180,55,30971.0,0.5331429665272082
10,Hermanas Mirabal,7927,813,6464,4864,46505,204,243,84,67104.0,1.155145963186264
11,Independencia,1032,220,693,597,3804,46,18,12,6422.0,0.11055000261656811
12,La Altagracia,22186,5351,20659,13794,121963,947,562,535,185997.0,3.2018014382861755
13,La Romana,18474,3317,13042,8333,125313,436,477,288,169680.0,2.9209162946090435
14,La Vega,31231,2710,25277,20196,229630,1129,1467,534,312174.0,5.373845611464424
15,María Trinidad Sánchez,9823,814,5306,5487,68219,412,668,88,90817.0,1.5633478024959304
16,Monseñor Nouel,10925,1440,8947,5786,82917,427,288,222,110952.0,1.9099570056545414
17,Monte Cristi,5373,404,4714,4911,115797,205,731,152,132287.0,2.277223325465267
18,Monte Plata,4470,646,3069,2700,29909,144,87,45,41070.0,0.7069898174186316
19,Pedernales,600,85,480,590,3730,43,12,19,5559.0,0.09569409289092216
20,Peravia,9675,1689,8004,6529,66001,462,219,325,92904.0,1.5992739712067339
21,Puerto Plata,21171,2959,22480,11927,93345,759,341,430,153412.0,2.6408746498618725
22,Samaná,3840,862,4069,2444,35108,387,93,46,46849.0,0.8064710483624415
23,San Cristóbal,34038,4259,22215,15792,176958,991,454,892,255599.0,4.399948632636592
24,San José de Ocoa,1630,205,1838,1683,14700,96,33,26,20211.0,0.34791748721324484
25,San Juan de la Maguana,11899,1662,6786,5894,53556,425,507,93,80822.0,1.3912912350476905
26,San Pedro de Macorís,16438,2485,11579,6788,102678,288,307,436,140999.0,2.427193992359621
27,Sánchez Ramírez,9488,833,5178,5136,42780,204,544,99,64262.0,1.106223025248505
28,Santiago,114419,8575,83960,49128,197437,2753,1975,1990,460237.0,7.9226411638494945
29,Santiago Rodríguez,2175,300,2820,3136,14849,110,74,222,23686.0,0.4077370541849941
30,Santo Domingo,257634,31985,135315,83754,412535,3216,3354,4233,932026.0,16.04414150400335
31,Valverde,10387,1042,8252,8253,79654,316,401,182,108487.0,1.8675238451983223
32,Total,1121695,130634,678031,521067,3280646,25534,27567,23962,5809136.0,100.0
