,anio,Defunciones,parque_vehicular,poblacion,vehiculos_per_capita,habitantes_por_vehiculo,tasa_crecimiento_vehiculos,tasa_crecimiento_poblacion,mortalidad_por_poblacion_100000,mortalidad_por_vehiculos_100000
0,2007,1747,2234307,9455658,236.2931273529563,4.23203167693607,,,18.47571052167919,78.18979218164738
1,2008,1846,2429562,9573130,253.78972185690574,3.9402698922686477,8.738951272139417,1.2423461170021133,19.283139370299995,75.98077348921329
2,2009,1873,2570220,9695265,265.1005413467295,3.7721537455937626,5.78943859016563,1.275810523830767,19.318708668612977,72.87313926434312
3,2010,2132,2734740,9820175,278.4817989496114,3.5908989520027497,6.401008473982772,1.2883608648138978,21.7104074010901,77.9598791841272
4,2011,1833,2917573,9945621,293.35252167763076,3.408867918643338,6.685571571703353,1.2774314103363826,18.430221702596548,62.82619149546559
5,2012,1768,3052686,10070411,303.13420177190386,3.2988689305090664,4.6310066620441015,1.2547230585199243,17.556383746403203,57.91620887310388
6,2013,1892,3215773,10193833,315.4625939035885,3.169947940977177,5.342409930140213,1.2255904947672924,18.560241275288696,58.83499861464102
7,2014,1855,3398662,10315528,329.47048372124044,3.0351732534744555,5.687248446951942,1.1938100221967618,17.98259866097014,54.58030248374213
8,2015,1946,3612964,10434829,346.2408440042477,2.8881630151864233,6.305481392383228,1.1565185999204308,18.649083755948467,53.86159397104427
9,2016,1991,3854038,10551430,365.26214930108995,2.7377597211029054,6.672471688065529,1.1174212821312146,18.86948025054424,51.660102988086784
10,2017,1587,4097338,10666843,384.11908753133423,2.603359303040169,6.312859395781767,1.0938138242873263,14.877879050061955,38.73246483448522
11,2018,1427,4350884,10782053,403.53019967533083,2.4781292721203325,6.18806649585657,1.0800758949953693,13.234956274097334,32.797932558073256
12,2019,2100,4634876,10894043,425.4504962023741,2.350449720769229,6.527225271921755,1.0386704647064926,19.27658996756301,45.30865550664139
13,2020,1737,4842367,11008300,439.88326989635095,2.2733303774786173,4.476732495108826,1.0488025428208703,15.779003115830783,35.87088710954787
14,2021,1874,5152448,11123476,463.2048471179333,2.1588720546039473,6.403500602081591,1.0462650908859672,16.84725170441326,36.37106090153651
15,2022,1794,5463996,11230734,486.5217179927866,2.0554067023475127,6.04660153775447,0.9642489452038161,15.974022713030156,32.83311334781358
16,2023,1949,5809136,11331265,512.664384779634,1.9505938576752206,6.316622486546475,0.8951418491436103,17.200197859638795,33.55060029580991
