,anio,camiones_furgonetas,autobuses,turismos,motocicletas,tractores,remolques,otros,ciclomotores,total
0,2002,4091875,56953,18732632,1517208,167014,287220,212830,2044242,27109974
1,2003,4188910,55993,18688320,1513526,174507,306842,241354,2143593,27313045
2,2004,4418039,56957,19541918,1612082,185379,330933,287333,2242046,28674687
3,2005,4655413,58248,20250377,1805827,194206,353946,339259,2311773,29969049
4,2006,4910257,60385,21052559,2058022,204094,380147,388597,2343124,31397185
5,2007,5140586,61039,21760174,2311346,212697,404859,427756,2430414,32748871
6,2008,5192219,62196,22145364,2500819,213366,418629,436631,2410685,33379909
7,2009,5136214,62663,21983485,2606674,206730,412840,447363,2352205,33208174
8,2010,5103980,62445,22147455,2707482,199486,414673,450514,2290207,33376242
9,2011,5060791,62358,22277244,2798043,195960,415568,459117,2229418,33498499
10,2012,4984722,61127,22247528,2852297,186964,410369,460196,2169668,33372871
11,2013,4887352,59892,22024538,2891204,182822,407847,463181,2107116,33023952
12,2014,4839484,59799,22029512,2972165,186060,413155,475872,2061044,33037091
13,2015,4851518,60252,22355549,3079463,195657,426510,420734,2023211,33412894
14,2016,4879480,61838,22876830,3211474,207889,443598,425411,1987470,34093990
15,2017,4924476,63589,23500401,3327048,218154,459712,435624,1961523,34890527
16,2018,4980911,64905,24074151,3459722,225942,474737,449614,1933445,35663427
17,2019,5015973,65470,24558126,3607226,232680,487823,467493,1908492,36343283
18,2020,5030927,63387,24716898,3735920,235511,498492,484068,1891754,36656957
19,2021,5050416,64447,24940969,3866220,238456,512500,505800,1868056,37046864
20,2022,5075068,65377,25222554,4006804,245075,526546,527019,1842501,37510944
21,2023,5148231,66638,25356594,4162850,253334,540907,546684,1815623,37890861
