Año,Número de Fallecidos
1960,2288
1961,2462
1962,2703
1963,3021
1964,3385
1965,3690
1966,3995
1967,4473
1968,4810
1969,5101
1970,5101
1971,5373
1972,5666
1973,6193
1974,5978
1975,5768
1976,5832
1977,6006
1978,6967
1979,6505
1980,6037
1981,5915
1982,5749
1983,5829
1984,6034
1985,6042
1986,6045
1987,6342
1988,6831
1989,9344
1990,6378
1991,5940
1992,5619
1993,5258
1994,5220
1995,5418
1996,5483
1997,5540
1998,5240
1999,5399
2000,5776
2001,5517
2002,5347
2003,5399
2004,4741
2005,4442
2006,4104
2007,3823
2008,3100
2009,2714
2010,2478
2011,2060
2012,1903
2013,1680
2014,1688
2015,1689
2016,1810
2017,1830
2018,1806
2019,1755
2020,1370
2021,1533
2022,1746
2023,1145
2024,1154
