,year,predicciones
0,1998,966406.7872290625
1,1999,1124977.5533823157
2,2000,1267985.9897382837
3,2001,1395208.0004992893
4,2002,1525273.2293209662
5,2003,1670867.2651740946
6,2004,1800863.417458408
7,2005,1915138.099316873
8,2006,2045196.4743995224
9,2007,2229552.455417597
10,2008,2398416.7522859806
11,2009,2551453.3782482827
12,2010,2720141.293054605
13,2011,2904497.2763840985
14,2012,3073412.132021868
15,2013,3226514.1866594497
16,2014,3412662.1062835352
17,2015,3614589.321696613
18,2016,3852438.7158430545
19,2017,4074372.976907106
20,2018,4312064.450667508
21,2019,4623593.977363712
22,2020,4919980.2388644265
23,2021,5200190.408068714
24,2022,5496051.866429374
25,2023,5807581.393125707
26,2024,6103967.654626696
27,2025,6384177.823830553
28,2026,6680039.282191369
