,year,predicciones
0,1960,3267026.682166908
1,1961,3373750.0697220676
2,1962,3480421.9040524955
3,1963,3587775.228172774
4,1964,3698739.6476095244
5,1965,3810296.4262563265
6,1966,3921801.651678254
7,1967,4037707.883071366
8,1968,4157248.6424023365
9,1969,4278154.792400313
10,1970,4399009.38917342
11,1971,4523701.206575389
12,1972,4652051.622014283
13,1973,4782995.095929075
14,1974,4913887.016618779
15,1975,5045530.208966108
16,1976,5180851.044212637
17,1977,5316365.883479929
18,1978,5451829.169521035
19,1979,5588895.09575144
20,1980,5729653.521686716
21,1981,5868403.609149782
22,1982,6007102.143385978
23,1983,6146599.149180841
24,1984,6289795.315174822
25,1985,6430383.752665106
26,1986,6570920.636933595
27,1987,6712219.077818327
28,1988,6857221.614332636
29,1989,7003809.218025656
30,1990,7150345.268495997
31,1991,7297562.806545309
32,1992,7448500.656938623
33,1993,7595087.362932604
34,1994,7741622.5157011105
35,1995,7886208.279463566
36,1996,8034507.145225031
37,1997,8172766.918229623
38,1998,8310975.138008919
39,1999,8446106.847458038
40,2000,8584925.757383099
41,2001,8719332.013361787
42,2002,8853686.716109132
43,2003,8978483.120615615
44,2004,9106938.40969909
45,2005,9223083.779596226
46,2006,9339177.59626517
47,2007,9455073.642761875
48,2008,9574604.189296009
49,2009,9706047.91560711
50,2010,9837440.088697761
51,2011,9953637.763765715
52,2012,10073470.765244702
53,2013,10189038.504118662
54,2014,10304554.689762685
55,2015,10420752.364830269
56,2016,10540585.366315296
57,2017,10656153.105183462
58,2018,10771669.29082789
59,2019,10887866.96589788
60,2020,11007699.967379047
61,2021,11123267.706251614
62,2022,11238783.891891696
63,2023,11354981.5669596
64,2024,11474814.56844753
65,2025,11590382.307315627
