,anio,infracciones,total,porcentaje
0,2018,otros,527,0.06
1,2018,otros,4153,0.51
2,2018,otros,2601,0.32
3,2018,otros,11393,1.4
4,2018,otros,12044,1.48
5,2018,violar la luz roja,61911,7.62
6,2018,otros,8258,1.02
7,2018,transitar sin casco,209670,25.79
8,2018,otros,7060,0.87
9,2018,otros,1202,0.15
10,2018,otros,3174,0.39
11,2018,otros,2576,0.32
12,2018,otros,15072,1.85
13,2018,conducir sin licencia y/o vencida,64565,7.94
14,2018,otros,47822,5.88
15,2018,otros,4732,0.58
16,2018,otros,7958,0.98
17,2018,transitar sin cinturon,72964,8.98
18,2018,otros,15930,1.96
19,2018,otros,15649,1.93
20,2018,otros,16096,1.98
21,2018,otros,3641,0.45
22,2018,otros,657,0.08
23,2018,hablar por celular,30882,3.8
24,2018,giro prohibido,24103,2.96
25,2018,estacionarse en lugares prohibidos,38677,4.76
26,2018,otros,14799,1.82
27,2018,obstruir el transito,29631,3.64
28,2018,via contraria,33762,4.15
29,2018,otros,1358,0.17
30,2018,otros,439,0.05
31,2018,otros,19366,2.38
32,2018,obstruir el transito,777,0.1
33,2018,otros,4894,0.6
34,2018,otros,361,0.04
35,2018,otros,351,0.04
36,2018,otros,639,0.08
37,2018,otros,2171,0.27
38,2018,otros,17184,2.11
39,2018,otros,2009,0.25
40,2018,conducir sin licencia y/o vencida,1872,0.23
41,2019,otros,321,0.03
42,2019,otros,61,0.01
43,2019,otros,660,0.07
44,2019,otros,71,0.01
45,2019,otros,901,0.09
46,2019,otros,6387,0.64
47,2019,otros,3402,0.34
48,2019,otros,4432,0.44
49,2019,otros,42,0.0
50,2019,otros,2583,0.26
51,2019,otros,623,0.06
52,2019,otros,20,0.0
53,2019,otros,61,0.01
54,2019,otros,1979,0.2
55,2019,otros,4759,0.47
56,2019,otros,11039,1.1
57,2019,violar la luz roja,72103,7.18
58,2019,otros,221,0.02
59,2019,otros,227,0.02
60,2019,otros,98,0.01
61,2019,otros,4303,0.43
62,2019,otros,913,0.09
63,2019,otros,2242,0.22
64,2019,otros,15366,1.53
65,2019,otros,245,0.02
66,2019,otros,447,0.04
67,2019,obstruir el transito,27981,2.79
68,2019,otros,353,0.04
69,2019,otros,30,0.0
70,2019,otros,49,0.0
71,2019,otros,33,0.0
72,2019,otros,662,0.07
73,2019,otros,15815,1.58
74,2019,otros,36425,3.63
75,2019,otros,6639,0.66
76,2019,otros,10775,1.07
77,2019,otros,190,0.02
78,2019,otros,19049,1.9
79,2019,otros,217,0.02
80,2019,otros,19218,1.91
81,2019,otros,128,0.01
82,2019,otros,733,0.07
83,2019,otros,1921,0.19
84,2019,otros,2218,0.22
85,2019,otros,183,0.02
86,2019,otros,6145,0.61
87,2019,otros,250,0.02
88,2019,otros,132,0.01
89,2019,otros,594,0.06
90,2019,otros,2338,0.23
91,2019,otros,52,0.01
92,2019,otros,292,0.03
93,2019,otros,42,0.0
94,2019,otros,1818,0.18
95,2019,otros,279,0.03
96,2019,otros,273,0.03
97,2019,otros,309,0.03
98,2019,otros,828,0.08
99,2019,conducir sin licencia y/o vencida,87558,8.72
100,2019,otros,88028,8.77
101,2019,otros,5677,0.57
102,2019,otros,7986,0.8
103,2019,hablar por celular,31518,3.14
104,2019,otros,2477,0.25
105,2019,otros,24,0.0
106,2019,otros,52,0.01
107,2019,otros,45,0.0
108,2019,otros,20,0.0
109,2019,otros,213,0.02
110,2019,otros,282,0.03
111,2019,transitar sin cinturon,57569,5.73
112,2019,otros,286,0.03
113,2019,otros,17718,1.77
114,2019,otros,16212,1.61
115,2019,otros,660,0.07
116,2019,giro prohibido,28875,2.88
117,2019,otros,519,0.05
118,2019,estacionarse en lugares prohibidos,40940,4.08
119,2019,otros,584,0.06
120,2019,otros,85,0.01
121,2019,otros,15,0.0
122,2019,otros,103,0.01
123,2019,otros,2625,0.26
124,2019,otros,7608,0.76
125,2019,otros,89,0.01
126,2019,otros,83,0.01
127,2019,otros,399,0.04
128,2019,transitar sin casco,248639,24.77
129,2019,otros,2220,0.22
130,2019,via contraria,30046,2.99
131,2019,otros,4396,0.44
132,2019,otros,109,0.01
133,2019,otros,80,0.01
134,2019,otros,777,0.08
135,2019,otros,206,0.02
136,2019,otros,28346,2.82
137,2019,otros,32,0.0
138,2019,otros,285,0.03
139,2019,otros,50,0.0
140,2019,otros,860,0.09
141,2019,otros,79,0.01
142,2020,otros,123,0.02
143,2020,otros,65,0.01
144,2020,otros,486,0.08
145,2020,otros,30,0.0
146,2020,otros,323,0.05
147,2020,otros,3782,0.62
148,2020,otros,1606,0.26
149,2020,otros,2219,0.36
150,2020,otros,52,0.01
151,2020,otros,541,0.09
152,2020,otros,244,0.04
153,2020,otros,0,0.0
154,2020,otros,37,0.01
155,2020,otros,2319,0.38
156,2020,otros,5513,0.9
157,2020,violar la luz roja,60072,9.77
158,2020,otros,332,0.05
159,2020,otros,46,0.01
160,2020,otros,1676,0.27
161,2020,otros,2779,0.45
162,2020,otros,376,0.06
163,2020,otros,6103,0.99
164,2020,otros,171,0.03
165,2020,otros,112,0.02
166,2020,otros,2031,0.33
167,2020,otros,116,0.02
168,2020,otros,243,0.04
169,2020,obstruir el transito,19278,3.14
170,2020,otros,160,0.03
171,2020,otros,12,0.0
172,2020,otros,615,0.1
173,2020,otros,99,0.02
174,2020,otros,22532,3.66
175,2020,otros,642,0.1
176,2020,otros,261,0.04
177,2020,otros,10736,1.75
178,2020,otros,244,0.04
179,2020,otros,6880,1.12
180,2020,otros,50,0.01
181,2020,otros,454,0.07
182,2020,otros,93,0.02
183,2020,otros,40,0.01
184,2020,otros,4315,0.7
185,2020,otros,96,0.02
186,2020,otros,58,0.01
187,2020,otros,600,0.1
188,2020,otros,31,0.01
189,2020,otros,69,0.01
190,2020,otros,21,0.0
191,2020,otros,1693,0.28
192,2020,otros,64,0.01
193,2020,otros,265,0.04
194,2020,otros,229,0.04
195,2020,otros,134,0.02
196,2020,conducir sin licencia y/o vencida,35822,5.83
197,2020,otros,45901,7.47
198,2020,otros,419,0.07
199,2020,otros,3898,0.63
200,2020,hablar por celular,16156,2.63
201,2020,otros,808,0.13
202,2020,otros,19,0.0
203,2020,otros,114,0.02
204,2020,otros,60,0.01
205,2020,otros,9,0.0
206,2020,otros,96,0.02
207,2020,otros,147,0.02
208,2020,transitar sin cinturon,31555,5.13
209,2020,otros,178,0.03
210,2020,otros,7440,1.21
211,2020,otros,6832,1.11
212,2020,otros,257,0.04
213,2020,giro prohibido,14730,2.4
214,2020,otros,124,0.02
215,2020,estacionarse en lugares prohibidos,25404,4.13
216,2020,otros,150,0.02
217,2020,otros,13,0.0
218,2020,otros,54,0.01
219,2020,otros,38,0.01
220,2020,otros,36,0.01
221,2020,otros,5060,0.82
222,2020,otros,105,0.02
223,2020,otros,92,0.01
224,2020,otros,141,0.02
225,2020,transitar sin casco,178142,28.98
226,2020,otros,3926,0.64
227,2020,via contraria,21901,3.56
228,2020,otros,5336,0.87
229,2020,otros,197,0.03
230,2020,otros,15,0.0
231,2020,otros,214,0.03
232,2020,otros,9,0.0
233,2020,otros,28458,4.63
234,2020,otros,47,0.01
235,2020,otros,78,0.01
236,2020,otros,133,0.02
237,2020,otros,12,0.0
238,2020,otros,11049,1.8
239,2020,otros,2865,0.47
240,2020,otros,4353,0.71
241,2020,otros,1310,0.21
242,2020,otros,37,0.01
243,2021,otros,227,0.01
244,2021,otros,45,0.0
245,2021,otros,712,0.05
246,2021,otros,82,0.01
247,2021,otros,1363,0.09
248,2021,otros,5082,0.33
249,2021,otros,1484,0.1
250,2021,otros,2534,0.17
251,2021,otros,120,0.01
252,2021,otros,1745,0.11
253,2021,otros,331,0.02
254,2021,otros,134,0.01
255,2021,otros,166,0.01
256,2021,otros,4198,0.28
257,2021,otros,9232,0.61
258,2021,violar la luz roja,160381,10.54
259,2021,otros,587,0.04
260,2021,otros,187,0.01
261,2021,otros,1169,0.08
262,2021,otros,2367,0.16
263,2021,otros,232,0.02
264,2021,otros,22907,1.5
265,2021,otros,101,0.01
266,2021,otros,283,0.02
267,2021,otros,3395,0.22
268,2021,otros,368,0.02
269,2021,otros,469,0.03
270,2021,obstruir el transito,45511,2.99
271,2021,otros,447,0.03
272,2021,otros,41,0.0
273,2021,otros,9248,0.61
274,2021,otros,157,0.01
