,anio,infracciones,total
0,2010,violar la luz roja,31531
1,2010,transitar sin casco,45466
2,2010,transitar sin cinturon,31331
3,2010,hablar por celular,29876
4,2010,via contraria,38764
5,2010,conducir sin licencia y/o vencida,25880
6,2010,conducir sin licencia y/o vencida,30342
7,2010,via contraria,16546
8,2010,obstruir el transito,24540
9,2010,estacionarse en lugares prohibidos,17564
10,2010,giro prohibido,19574
11,2011,violar la luz roja,43938
12,2011,transitar sin casco,20561
13,2011,transitar sin cinturon,42142
14,2011,hablar por celular,32657
15,2011,via contraria,37645
16,2011,conducir sin licencia y/o vencida,15765
17,2011,conducir sin licencia y/o vencida,31779
18,2011,via contraria,15456
19,2011,obstruir el transito,15768
20,2011,estacionarse en lugares prohibidos,21372
21,2011,giro prohibido,30733
22,2012,violar la luz roja,57284
23,2012,transitar sin casco,23871
24,2012,transitar sin cinturon,61606
25,2012,hablar por celular,37324
26,2012,via contraria,38756
27,2012,conducir sin licencia y/o vencida,18756
28,2012,conducir sin licencia y/o vencida,27657
29,2012,via contraria,13232
30,2012,obstruir el transito,40655
31,2012,estacionarse en lugares prohibidos,15676
32,2012,giro prohibido,23453
33,2013,violar la luz roja,43929
34,2013,transitar sin casco,64290
35,2013,transitar sin cinturon,54102
36,2013,hablar por celular,28247
37,2013,via contraria,39987
38,2013,conducir sin licencia y/o vencida,22647
39,2013,conducir sin licencia y/o vencida,27657
40,2013,via contraria,25435
41,2013,obstruir el transito,44210
42,2013,estacionarse en lugares prohibidos,14345
43,2013,giro prohibido,24536
44,2014,violar la luz roja,66462
45,2014,transitar sin casco,67628
46,2014,transitar sin cinturon,65821
47,2014,hablar por celular,27898
48,2014,via contraria,40509
49,2014,conducir sin licencia y/o vencida,21736
50,2014,conducir sin licencia y/o vencida,32546
51,2014,via contraria,15678
52,2014,obstruir el transito,50948
53,2014,estacionarse en lugares prohibidos,21334
54,2014,giro prohibido,17869
55,2015,violar la luz roja,71981
56,2015,transitar sin casco,122494
57,2015,transitar sin cinturon,62345
58,2015,hablar por celular,34567
59,2015,via contraria,41022
60,2015,conducir sin licencia y/o vencida,20463
61,2015,conducir sin licencia y/o vencida,40032
62,2015,via contraria,21632
63,2015,obstruir el transito,48598
64,2015,estacionarse en lugares prohibidos,20145
65,2015,giro prohibido,18493
66,2016,violar la luz roja,43917
67,2016,transitar sin casco,70808
68,2016,transitar sin cinturon,32709
69,2016,hablar por celular,18765
70,2016,via contraria,27962
71,2016,conducir sin licencia y/o vencida,10536
72,2016,conducir sin licencia y/o vencida,17656
73,2016,via contraria,16548
74,2016,obstruir el transito,21893
75,2016,estacionarse en lugares prohibidos,25694
76,2016,giro prohibido,10323
77,2017,violar la luz roja,62897
78,2017,transitar sin casco,140033
79,2017,transitar sin cinturon,53885
80,2017,hablar por celular,29034
81,2017,via contraria,40036
82,2017,conducir sin licencia y/o vencida,16306
83,2017,conducir sin licencia y/o vencida,29446
84,2017,via contraria,40036
85,2017,obstruir el transito,45556
86,2017,estacionarse en lugares prohibidos,51302
87,2017,giro prohibido,16702
88,2018,otros,527
89,2018,otros,4153
90,2018,otros,2601
91,2018,otros,11393
92,2018,otros,12044
93,2018,violar la luz roja,61911
94,2018,otros,8258
95,2018,transitar sin casco,209670
96,2018,otros,7060
97,2018,otros,1202
98,2018,otros,3174
99,2018,otros,2576
100,2018,otros,15072
101,2018,conducir sin licencia y/o vencida,64565
102,2018,otros,47822
103,2018,otros,4732
104,2018,otros,7958
105,2018,transitar sin cinturon,72964
106,2018,otros,15930
107,2018,otros,15649
108,2018,otros,16096
109,2018,otros,3641
110,2018,otros,657
111,2018,hablar por celular,30882
112,2018,giro prohibido,24103
113,2018,estacionarse en lugares prohibidos,38677
114,2018,otros,14799
115,2018,obstruir el transito,29631
116,2018,via contraria,33762
117,2018,otros,1358
118,2018,otros,439
119,2018,otros,19366
120,2018,obstruir el transito,777
121,2018,otros,4894
122,2018,otros,361
123,2018,otros,351
124,2018,otros,639
125,2018,otros,2171
126,2018,otros,17184
127,2018,otros,2009
128,2018,conducir sin licencia y/o vencida,1872
129,2019,otros,321
130,2019,otros,61
131,2019,otros,660
132,2019,otros,71
133,2019,otros,901
134,2019,otros,6387
135,2019,otros,3402
136,2019,otros,4432
137,2019,otros,42
138,2019,otros,2583
139,2019,otros,623
140,2019,otros,20
141,2019,otros,61
142,2019,otros,1979
143,2019,otros,4759
144,2019,otros,11039
145,2019,violar la luz roja,72103
146,2019,otros,221
147,2019,otros,227
148,2019,otros,98
149,2019,otros,4303
150,2019,otros,913
151,2019,otros,2242
152,2019,otros,15366
153,2019,otros,245
154,2019,otros,447
155,2019,obstruir el transito,27981
156,2019,otros,353
157,2019,otros,30
158,2019,otros,49
159,2019,otros,33
160,2019,otros,662
161,2019,otros,15815
162,2019,otros,36425
163,2019,otros,6639
164,2019,otros,10775
165,2019,otros,190
166,2019,otros,19049
167,2019,otros,217
168,2019,otros,19218
169,2019,otros,128
170,2019,otros,733
171,2019,otros,1921
172,2019,otros,2218
173,2019,otros,183
174,2019,otros,6145
175,2019,otros,250
176,2019,otros,132
177,2019,otros,594
178,2019,otros,2338
179,2019,otros,52
180,2019,otros,292
181,2019,otros,42
182,2019,otros,1818
183,2019,otros,279
184,2019,otros,273
185,2019,otros,309
186,2019,otros,828
187,2019,conducir sin licencia y/o vencida,87558
188,2019,otros,88028
189,2019,otros,5677
190,2019,otros,7986
191,2019,hablar por celular,31518
192,2019,otros,2477
193,2019,otros,24
194,2019,otros,52
195,2019,otros,45
196,2019,otros,20
197,2019,otros,213
198,2019,otros,282
199,2019,transitar sin cinturon,57569
200,2019,otros,286
201,2019,otros,17718
202,2019,otros,16212
203,2019,otros,660
204,2019,giro prohibido,28875
205,2019,otros,519
206,2019,estacionarse en lugares prohibidos,40940
207,2019,otros,584
208,2019,otros,85
209,2019,otros,15
210,2019,otros,103
211,2019,otros,2625
212,2019,otros,7608
213,2019,otros,89
214,2019,otros,83
215,2019,otros,399
216,2019,transitar sin casco,248639
217,2019,otros,2220
218,2019,via contraria,30046
219,2019,otros,4396
220,2019,otros,109
221,2019,otros,80
222,2019,otros,777
223,2019,otros,206
224,2019,otros,28346
225,2019,otros,32
226,2019,otros,285
227,2019,otros,50
228,2019,otros,860
229,2019,otros,79
230,2020,otros,123
231,2020,otros,65
232,2020,otros,486
233,2020,otros,30
234,2020,otros,323
235,2020,otros,3782
236,2020,otros,1606
237,2020,otros,2219
238,2020,otros,52
239,2020,otros,541
240,2020,otros,244
241,2020,otros,0
242,2020,otros,37
243,2020,otros,2319
244,2020,otros,5513
245,2020,violar la luz roja,60072
246,2020,otros,332
247,2020,otros,46
248,2020,otros,1676
249,2020,otros,2779
250,2020,otros,376
251,2020,otros,6103
252,2020,otros,171
253,2020,otros,112
254,2020,otros,2031
255,2020,otros,116
256,2020,otros,243
257,2020,obstruir el transito,19278
258,2020,otros,160
259,2020,otros,12
260,2020,otros,615
261,2020,otros,99
262,2020,otros,22532
263,2020,otros,642
264,2020,otros,261
265,2020,otros,10736
266,2020,otros,244
267,2020,otros,6880
268,2020,otros,50
269,2020,otros,454
270,2020,otros,93
271,2020,otros,40
272,2020,otros,4315
273,2020,otros,96
274,2020,otros,58
275,2020,otros,600
276,2020,otros,31
277,2020,otros,69
278,2020,otros,21
279,2020,otros,1693
280,2020,otros,64
281,2020,otros,265
282,2020,otros,229
283,2020,otros,134
284,2020,conducir sin licencia y/o vencida,35822
285,2020,otros,45901
286,2020,otros,419
287,2020,otros,3898
288,2020,hablar por celular,16156
289,2020,otros,808
290,2020,otros,19
291,2020,otros,114
292,2020,otros,60
293,2020,otros,9
294,2020,otros,96
295,2020,otros,147
296,2020,transitar sin cinturon,31555
297,2020,otros,178
298,2020,otros,7440
299,2020,otros,6832
300,2020,otros,257
